MasterID,date,mean.svl,bci,next.bci
131,11/23/2011,64.8,-0.027471799,-0.065068782
217,11/23/2011,52.7,-0.192281452,-0.172773543
234,11/23/2011,54.2,-0.095497135,-0.508806365
235,11/23/2011,51.4,-0.327013889,-0.46709079
196,11/23/2011,55.5,-0.21027059,-0.306383579
77,11/27/2011,65,0.09693877,-0.376391729
236,11/27/2011,55.6,0.123097191,0.117059872
238,11/27/2011,52.6,-0.292039464,0.129927699
122,11/27/2011,59,-0.381640822,-0.181508261
239,11/27/2011,59.8,-0.426580752,-0.10496888
75,11/27/2011,66.4,-0.071112504,0.054936845
158,11/27/2011,60.5,-0.065207758,0.017721253
126,11/27/2011,64.8,-0.051617841,-0.219737869
242,11/27/2011,66.5,-0.578308053,-0.300223385
53,11/27/2011,66.1,-0.03986615,-0.386660226
243,11/27/2011,49,-0.105209704,-0.305896499
167,11/27/2011,50.8,-0.366464133,0.197459203
67,11/27/2011,69.8,-0.30020962,-0.388385311
244,11/27/2011,54.1,-0.144685474,0.07650472
177,11/27/2011,61.1,-0.260599344,-0.260599344
68,11/27/2011,64.6,-0.277687327,-0.051737655
247,11/27/2011,50.2,0.067108882,0.327888729
248,11/27/2011,55.4,-0.172915157,0.328144856
250,11/27/2011,52.7,-0.200580255,-0.268396652
200,11/27/2011,54,-0.068796376,-0.17206871
251,11/27/2011,54.2,-0.120277164,-0.0367761
177,11/28/2011,61.1,-0.260599344,-0.087924679
256,12/5/2011,50.2,-0.270798075,0.01457216
257,12/5/2011,62.8,-0.246286008,0.268032644
90,12/6/2011,68.5,-0.312146479,-0.522538869
177,12/6/2011,56.1,-0.087924679,-0.652201319
259,12/6/2011,57,-0.418827373,-0.221421138
260,12/7/2011,58.8,-0.173969291,-0.113291587
120,12/7/2011,53.3,-0.092555988,0.482438786
200,12/15/2011,53.8,-0.17206871,-0.029793249
261,12/20/2011,60.95,-0.841956225,-0.302095381
267,12/21/2011,63.4,-0.629517268,-0.177616509
250,12/21/2011,51.7,-0.268396652,-0.025197268
271,12/22/2011,62,-0.361149523,0.323154252
276,12/23/2011,65.8,-0.69278966,-0.033334398
87,12/26/2011,62.7,-0.589002663,0.050000414
277,12/26/2011,60.18,-0.247805903,-0.247805903
278,12/26/2011,52.35,-0.471866048,-0.640942378
280,12/27/2011,55.9,-0.484020485,-0.026665875
235,12/27/2011,49.6,-0.46709079,0.040706801
282,12/31/2011,56.4,0.045346082,-0.115082186
172,1/10/2012,52.5,-0.462363723,-0.512533531
285,1/10/2012,56.5,-0.391175781,-0.222325983
285,1/11/2012,51.5,-0.222325983,-0.613356198
288,1/21/2012,61,-0.438833443,-0.291620459
122,1/24/2012,58.3,-0.181508261,-0.132030192
186,1/26/2012,61.5,-0.376440779,-0.128154268
122,1/27/2012,56,-0.132030192,0.026814999
285,1/27/2012,61.6,-0.613356198,-0.260839214
291,1/27/2012,46.7,-0.517338186,-0.46404232
282,2/18/2012,56.2,-0.115082186,0.332711522
292,2/19/2012,58,-0.183302499,0.044629691
293,2/19/2012,55.4,-0.205585939,-0.209282801
294,2/19/2012,60,-0.319416239,-0.349212196
118,2/19/2012,50.5,0.122286721,-0.154054776
295,2/28/2012,59.5,-0.309416003,-0.309416003
294,3/2/2012,54.4,-0.349212196,-0.253220411
206,3/8/2012,59.6,0.565021312,-0.423567335
297,3/8/2012,63.5,-0.290007636,-0.034861332
194,3/8/2012,60,0.112366178,-0.141757477
197,3/11/2012,49.3,-0.053880898,-0.053880898
299,3/11/2012,55.3,-0.297688573,-0.297688573
288,3/11/2012,63,-0.291620459,0.019552479
143,3/12/2012,64.3,-0.189157281,0.145840341
188,3/17/2012,54,0.03553268,0.267679921
259,3/18/2012,62.5,-0.221421138,-0.378462728
166,11/2/2012,74.2,-0.017652857,0.329657663
307,11/3/2012,56.1,0.460288477,-0.153306306
308,11/3/2012,62,0.035840958,-0.356772025
914,11/3/2012,62.9,0.53674532,-0.098225762
309,11/3/2012,56.4,0.159163885,0.103873422
309,11/4/2012,56.4,0.103873422,0.34087276
145,11/4/2012,65.3,0.268100731,0.277024323
310,11/5/2012,63.4,0.075190735,-0.557750985
107,11/6/2012,57.9,0.210743852,0.41804772
311,11/6/2012,50.06,-0.159381686,-0.127803751
311,11/12/2012,53.1,-0.127803751,0.630989002
280,11/12/2012,58.4,-0.026665875,0.393969614
120,11/12/2012,54,0.482438786,-0.181128422
309,11/13/2012,50.15,0.34087276,-0.177901003
