MasterID,date,Direction.of.Travel,SVL_1stMeasurement,SVL_2ndMeasurement,TL,Weight,Volume.disp,Sex,Age,gravid,next.date,next.direction.of.travel,next.first.svl,next.second.svl,next.tl.svl,next.weight,next.vol.disp,next.sex,next.age,next.gravid,days.between.captures,is.pond.growth,is.upland.growth,in.out.out.in,is.training
685,11/23/2014,OUT,44.8,NA,87.8,1.86,2,M,U,N,10/21/2015,IN,48.2,NA,90.8,2.97,2.4,M,A,N,332,1,0,1,0
167,11/27/2011,IN,50.8,NA,86.6,1.86,1.6,M,A,N,11/27/2013,OUT,53.9,NA,100.6,3.78,3.8,M,A,N,731,0,1,1,0
261,12/20/2011,IN,60.95,NA,93.2,1.86,2.3,F,A,N,3/18/2012,OUT,61.6,NA,95.6,3.29,3.2,F,A,N,89,1,0,1,1
659,10/30/2014,IN,47,NA,77.5,1.88,2.1,M,U,N,12/29/2014,OUT,38.5,NA,82.9,2.01,2.2,M,U,N,60,1,0,1,1
482,12/4/2017,OUT,42.5,42.7,86.1,1.89,NA,U,Y,N,11/5/2018,IN,53.3,52.3,94.4,2.13,NA,M,A,N,336,0,1,1,0
197,11/16/2011,OUT,53.3,NA,81.8,1.9,1.8,M,A,N,3/11/2012,IN,49.3,NA,81.6,2.37,2.2,M,A,N,116,0,1,1,1
602,10/30/2014,IN,46.6,NA,85.1,1.91,2.4,M,U,N,3/13/2015,OUT,49.9,NA,83.8,2.41,2.5,M,U,N,134,1,0,1,1
714,12/1/2014,OUT,44.1,NA,79.1,1.91,2,F,U,N,3/3/2015,IN,46.8,NA,85.5,2.13,2.2,F,U,N,92,0,1,1,1
594,10/29/2014,IN,50,NA,88.9,1.92,2,M,U,N,11/23/2014,OUT,47.9,NA,84,1.66,1.4,M,U,N,25,1,0,1,1
654,12/22/2014,OUT,47.4,NA,84.3,1.95,2.2,M,U,N,10/26/2015,IN,57.5,NA,101.4,3.29,3,M,A,N,308,1,0,1,0
739,2/16/2015,IN,51.2,NA,86.2,1.95,1.9,U,U,N,3/20/2015,OUT,51.3,NA,81.2,1.91,1.8,U,U,N,32,1,0,1,1
707,11/22/2014,OUT,46.3,NA,86,1.95,1.7,U,U,N,2/22/2015,IN,59.9,NA,91.4,2.98,2.9,U,U,N,92,0,1,1,1
